粵拼,意思及例子,粵研社（粵語協會）,侯興泉
maai4,【1】助詞，表示連同一齊做某件事：等～我啊！（等等我！）、同～（連同）、做～啲嘢先（先做完這些東西）【2】收起：～單（結賬）,埋,
maak3,張開、張大：～大口（張開口）、～開手臂（張開手臂）,擘/掰,
maan1,拉弓：～弓搭箭,彎,
maan1,瀕臨邊緣，搭順風車，抓著突出物爬：～車邊，～住上,摱,
maan1,把門拉著，不讓它關上：～住度門,摱,
maang5,蝗蟲：草～、瘦到隻～噉,蜢,
maau1,醉，不省人事：佢飲到～咗,貓,
maau4,狡詐：好～，打～波（ball），～躉（毛蛋）,茅,
mai1,用神看（書）、溫習或學習：～書,咪,
mai5,不要，別：你～理（你別管）、～嘈（別吵）,咪,
mai6,就：噉～啱囉（這樣就對了）、～係囉（就是嘛）,咪,
mak1,量詞「杯、小勺」，源自英文mug：一～米（一勺杯米）,嘜,
mak1,標記、商標，來源於英文mark：～頭（商標）,嘜,
mak2,痣：～屎（皮膚下的多顆小痣）,癦,
man1,元：一～（一元錢）,文,
man1,燜：～牛腩,炆/燜,
man2,把東西抹去，或填平：～屎（擦屁股）、～啲石灰上去（用石灰來填平）,抆,
man3,時間緊迫：時間好～,問,
man6,微裂，出現裂紋：打爛砂盆～到㞘（打破砂盆問到底）,問,
mang1,皺：䩌～～,掹,
mang1,黑漆漆：黑～～,䁅,
mang1,粉刺：～痏/枅（掹雞）,掹,
mang1,拉，扯：～衫尾（扯着衣服下沿）,掹,
mang2,發脾氣：～憎（䁅盯）,𢛴,
mang4,迂腐，守舊：～塞,盟,
mat1,什麽：～名（什麼名）、～嘢（什麽東西）,乜,
mau1,蹲：～蹲（喻失業）、～街（不雅地蹲在街上）、～塔（蹲在馬桶上）,踎,
me1,【1】什麽，與「乜」同：～事（什麽事）【2】句末語氣助詞「嗎」：你重唔知道～？（你還不知道嗎？）、好叻～？（很了不起嗎？）,咩,
me1,揹：～書包、～仔,孭,
mei1,用唇舌輕嚐飲品、小口喝：～茶,渳,
mei1,最後，倒數：～二（倒數第二）、孻～（最後）,屘,
mei1,表示小：雨～（很細的雨）,溦,
mei1,眼睛微閉：～埋眼（合上眼）,眯,
mei6,潛水：～水,未,
mit1,用手指捏：～人～到好痛,搣,
mo1,緩慢、拖拉：佢行得好～（他走得很慢）、動作好～（動作拖拉）,嚤,
mou5,沒有：～事（沒事）、～錢、～得傾（沒得商量）,冇,
mui4,（豬牛）背脊肉：～肉,梅,
mung2,腦筋不清醒：～懂（糊塗）、～盛盛（糊糊塗塗的）,懵,
mung4,糊里糊塗：～查查,矇,
naa2,母的、雌性：老虎～、豬～,乸,
naa4,語氣詞，用於強調已出現的情況或語言：～，你講嘅。（這是你說的）、～係咪呢！（你看，這就見效了）,嗱,
naam3,長度單位，手掌張開，拇指跟食指盡量遠離，此時拇指尖到食指尖的距離為「揇」：個窗有一～咁長,揇,
naam5,肚子上的肥肉：肚～、魚～（魚肚子上白色的肥肉）,腩,
naan3,紅腫塊，通常會痕癢：蚊～（被蚊蟲咬致的紅腫塊）、生～,赧,
naat3,【1】觸碰熱物感到燙：啲水好～（水很熱）【2】挑釁：佢～著我把火,捺,
nam1,數字：～巴（號碼）、靚～（好號碼）,冧,
nam2,想：～計（想辦法）、～唔明（想不明白）,諗,
nam4,【1】柔軟：啲牛腩炆得好～（牛腩煮得很軟了）、笪地好～（这块地很松软）【2】脾氣很好：～善（脾氣溫和）,腍,
nam6,濕透：淋到成身濕到～（淋得渾身濕透）,淰,
nam6,熟睡：睏得～,稔,
nam6,多油：油～～，肥～～,冧,
nan2,撚手（看家的）、撚手菜（最擅長做的菜）,撚,
nap6,黏稠，手腳慢：黐～～，～糯,納,
nap6,濕：濕～～,納,
nau1,生气：發～、～爆爆（氣呼呼）,嬲,
nau6,【1】膩、滞：食到～（吃膩了）、快手啲【2】動作慢：咪咁～（別磨蹭）注：亦可用「腬」字,膩,
nei1,躲、藏：～埋（藏起來）、伏～～（捉迷藏遊戲）,匿,
ngaa6,佔（地方）：～拃（佔地方，引申為霸道）、～住各位（霸着那位置）,掗,
ngaan4,磨：～碎,顏,
ngaat3,臭（通常指帶有尿味）：個廁所好～。,餲,
ngaat6,磨（牙）：～牙,壓,
ngam4,掏、摸：～荷包（掏錢包），～錢,扲,
ngam4,吟吟沉沉（不停地自言自語）,吟,
ngan6,【1】柔軟又結實，受外力作用時，雖然變形而不易折斷，與「脆」相對：～皮（頑皮）、牛肉煮老咗好～（牛肉煮過時間會很難咬開）【2】煙～（形容兩戀人如漆似膠的甜蜜樣子）,韌,
ngap6,搖，一般指上下摇晃：～頭（點頭）、～～貢（搖搖晃晃）,岌,
ngat6,搖動：～凳,扤,
ngau6,與「哣」連用：發～哣（發呆）,吽,
nget6,年老：老～～,兀,
ngok6,抬頭：頭～～（頭沒目的地抬着）、～高頭,𩓥,
ngong6,愚鈍，笨呼呼的：～居（笨、不知變通）,戇,
nik1,拿在手中，提：～住個袋（拿着袋）、～住本書,搦/扐,
nim1,山～乾,棯,
nin2,用手指鉗緊：～住条頸（卡住咽喉）,撚,
no4,揉搓：～乾淨件衫（把衣服搓乾淨）,挼,
nong6,開～褲：開襠褲,浪,
nung1,燶飯（焦飯）,燶,
o1,排便：～屎（拉大便）、～肚（拉肚子）,屙,屙
oi3,要：你重～唔～？（你還要不要？）你～邊種？（你要哪種？）,愛,-
ok6,抬，仰,-,𩓥
ou1,够（伸手向远处取物）,-,擙
paang1,打將出去，赶出去：～佢扯,抨/烹,
paang1,盛飯容器，多為金屬：飯～,烹,
paat6,堆、團，通常指糊狀物：一～牛屎（一堆牛糞），一～奶油,坺,
paau3,車大～（說大話騙人）、大～佬（專說大話的人）,炮,
pai1,削：～蘋果,批,
pat1,濃香：香～～,匹,
pei1,衣物起毛、鬆散：～邊，～口,紕,
pei1,器物磨損：～邊,披,
pek6,扔：～咗啲爛嘢（把破爛東西扔掉）、～炮唔撈（扔下槍不幹，指警察辭職不干）,擗,
peng1,依靠，靠背：椅～,凭,
po1,量詞，「株」、「棵」：一～樹（一棵樹），一～菜（一棵菜）,樖,
pou4,【1】出現，露面：～頭（露面）【2】混，玩：今晚去邊～？（今晚去哪裡混？）、最近好少去～。（最近很少出去玩了）,蒲,
pou5,（兒）媳婦：新～,抱,
saa3,張開：～開,挲,
saai1,【1】浪費：～錢、～電【2】挖苦，奚落：～人哋（挖苦別人）,嘥,
saai3,句未助詞，表示動作完成徹底或程度深，完全，全部：食～（吃光）、夠～（完全足够了）、唔該～（非常感謝）,晒/哂,
saan1,關：～門、～水喉,閂,
saan2,油炸食品：蛋～,散,
saan4,滑，且帶粘液狀：滑～～（滑溜溜）、～菜（一種蔬菜）,潺,
saan4,軟弱體質差：～弱書生（弱不禁風的書生）、～仔（軟弱的傢伙）,孱,
saang2,洗刷，漂亮：～乾淨，～鏡,渻,
saap3,眨眼：～眼，～下吓眼（引伸為轉眼間）,霎,
saap6,涮：～牛肉,烚/熠,
saau3,一種豬飼料，用泔水、米糠、野菜、剩飯等煮成：豬～,潲/餿,
saau4,偷偷瞧：～佢幾眼（瞧他幾眼）,睄,
sai6,咬：一啖～過嚟,噬,
sam2,撒少量粉末狀東西於某物上：～啲鹽落去（撒點兒鹽下去）,糝,
sang3,按住鼻孔出氣，借以排出鼻腔內的粘液：～鼻涕,擤,
sek3,【1】愛護，疼愛：好～你（很疼你）、愛～【2】親：～一啖（親一口）,錫,
seng1,小心，好好地：好～行（好生行走）,聲,
seon2,好東西：～嘢（好東西）、～盤（好樓盤）,筍,
seon2,腦門，嬰兒頭骨未合處：腦～,筍,
seot1,～衫（衬衣）,恤,
si1,下雨狀：落雨～雭（濕）,絲,
si1,打嗝：打～噎,屍,
si6,豆豉：～油（醬油）、～椒排骨（一道廣東菜）,豉,
sik6,虧、損：～本（虧本）、鞋底磨～晒（鞋底磨平了）,蝕,
sin3,閹割：～雞,騸,
sin3,滑倒：～親,跣,
sing1,摑：㨮𢃳～（俗字：兜巴～）,星,
sip3,插入：～位,攝,
soe4,滑：～滑梯,瀡,
sok3,吸（液體或氣體）：～一啖可樂（吸一口可樂）、～氣（喘氣）、～白粉,嗍,
sok3,靚、美貌：～女（美女）,索,
song3,超級，極度，亦用於諢名：～熱，～彪,喪,
sung3,【1】下飯的菜：煮咗五味～（煮了五道菜）【2】伴着吃，使某樣食物更好入口：鹹菜～粥（咸菜伴着粥吃）、糖果～藥,餸,
syu3,地方、處所：邊～（哪裏）、嗰～（那裡，那兒）,處,
syun2,傷破，一般指輕傷：～手爛腳（手傷腳破）,損,
syut1,【1】象聲詞，形容快：部車～一聲開過【2】雪白：白～～,𠽌,
taai1,tyre的音譯，車胎：車～、爆～,呔,
taai5,汽車的方向盤：～盤（方向盤）、打～（打方向盤）,軚,
taam4,享受：～世界,歎,
taam4,用火在表面輕微地燒：～下啲豬腳毛（燒一下豬蹄的表面已達到去毛的目的）,燂,
taap3,鎖上：～佢（用手銬鎖上）,錔,
taap3,比目魚：～沙魚,撻,
taat1,音譯自英文tart：蛋～,撻,
taat1,指穿鞋時將後跟壓下拖着走，很隨便的樣子：～住對拖鞋。,靸,
taat3,～大隻腳周圍行（光着腳到處逛）,撻,
taat3,邋～（骯髒，不乾淨）,遢,
tai2,看：～書（看書）、～水（把風）,睇,
tam3,哄：～細路、～女仔,𠱁,
tam4,團團轉：～～轉,氹,
tam5,坑：水～（水坑）、～仔（小坑）,氹,
tan3,移、挪：～過啲（挪過一點）、～後（往後移）,褪,
tan4,胖乎乎：肥～～,騰,
tau2,【1】休息：早～（晚安）、～涼（乘涼）【2】呼吸：～氣（喘氣、呼吸）,唞,
teoi4,頹廢之省，垂頭喪氣：好～,頹,
tik1,（打）釣：打～,趯/tick,
ting1,明（天）：～日、～晚,聽,
to4,背，一般指弓着腰地背：～住細路（背着孩子）,馱,
to4,瓦片：無尾飛～（有去無回）,砣/鉈,
tong1,宰殺：～豬（殺豬）、～雞還神（粵語常用語：殺雞謝神）,劏,
tong3,平行拉開的門：～門,趟,
ung1,（以土或土狀物）埋、堆：～多啲泥（多培些泥）、啲沙～住我隻腳,壅,-
ung2,推：佢～咗個女入火坑。,擁,㧬
ung3,～菜（通心菜，粵語又叫「通菜」）,蕹,-
waa2,用手指抓：隻貓～損咗我（貓把我抓傷了）、～開件衫（扒開衣服）,搲,
wan1,沉醉於與異性纏綿：～女，～仔,溫,
wan2,找：～人（找人）、～嘢（找東西）、～工（找工作）,搵,
wan3,關押，扣押：拘留所～住啲小偷（小偷被關在拘留所）、用個籠～住隻雀（用籠把小鳥關起來）,韞/榲,
wang1,失敗：～咗,橫,
wat1,誣陷，以強勢使之屈服：～人，～機,屈,
wat1,把塗上醬油的肉略煎再加配料煮成：～雞，～鋰魚,煀,
wat6,外貌令人反感：～突,核,
we2,用手指抓（搲口語讀we2）：隻貓～損咗我（貓把我抓傷了）、～開件衫（扒開衣服）、～銀（賺錢）,搲,
wo1,多汁，柔滑，粘稠：～蛋奶（生鷄蛋打入滾熱的牛奶中形成的滑膩的甜品）、～蛋牛肉飯,滒,
wo3,句末語氣詞【1】表示一種置身其外的語氣：我一啲都唔知～（我一點都不知道）【2】表示輕微的讚嘆：好靚～（挺漂亮的）,喎,
wo5,句末語氣詞【1】表示陳述別人觀點的語氣：佢話唔得～（他說不行的）、佢叫你過去～（他叫你過去）【2】帶有諷刺意味：係咯～（才不是呢！）,喎,
wo5,破壞，弄糟：搞～,喎,
wok6,用來炒菜的鍋：～鏟、大～（引申義為「糟糕」）,鑊,
wui1,放在火堆的炭灰裡燒熟：～番薯,煨,
zaa1,有把握：有～拏（拿）,揸,
zaa1,用手指抓東西：～住把刀（手拿着到）、～車（開車）、揸篼乞食（拿飯碗乞討）,揸,
zaa2,品質差劣，水準低：～嘢，好～,渣,
zaa3,水母：白～,鮓/蚱,
zaa3,句末語氣詞，相當於「才」、「罷了」、「而已」：我去過一次～（我才去過一次）、我得10文～（我祇有10塊錢）,咋,
zaa6,【1】用手抓的一把，或形容一堆數量繁多的東西：一～芝麻（一把芝麻）、一～螞蟻（一群螞蟻）【2】堵住、塞住：～住巷口（堵住胡同口）,拃,
zaak3,砸，壓：大石～死蟹，～年（厭歲）,責,
zaak3,重物壓於上：嚿石～住隻腳、大石～死蟹,磧,
zaam2,眨眼：～眼,䁪,
zaan2,美妙、有趣：呢隻古仔好～鬼（這個故事眞妙）,盞,
zaan2,走～（鬆動）,趲,
zaang1,【1】肘：手～【2】腳跟：腳～、高～鞋（高跟鞋）,踭,
zaang1,頭髮蓬鬆而淩亂：頭髮起晒～（頭髮蓬鬆）,鬇,
zaang6,撐，使之充滿：～爆件衫,掙/綻,
zaang6,過飽，肚皮撐著：～爆肚,掙/綻,
zaap6,～骨（衣服等鎖邊）,鈒,
zaat2,曱甴（蟑螂）,甴,
zaau6,～艇（划艇）,棹,
zaau6,,罩,
zai2,【1】用法相當於「子」，意為小東西：細路～（小孩子）、雀～（小鳥）、杯～（小杯子）【2】兒子：～女（兒女）,仔,
zai3,開關、按鈕：電～（電開關）、手～（遊戲機的搖杆）,掣,
zam2,後腦勺：後尾～,枕,
zam3,涼意：涼～～,浸,
zap1,撿，拾，拿：～藥，～貨。量詞，一撮：一～毛,執,
zat1,陰～：形容做傷天害理的事。,騭,
zat1,地方淺窄：屈～,質,
zat1,擳,質,
zat6,本義為「堵」、「塞」，不及物動詞：口～～（結結巴巴）、突然～住（突然停住）；可引申為及物動詞，意為「使別人沒話説」：～到佢冇聲出（用言語堵得他沒話說。）,窒,
ze1,句末語氣詞：關你咩事～？（不滿語氣：關你什麼事呀？）、好唔好～？（追問：好不好啊？）,啫,
zeng1,太陽穴：魂～,精,
zeng3,上乘，漂亮：～嘢,正,
zeng6,堅實，堅強：硬～,淨,
zeon1,瓶：玻璃～、膠～,樽,
zeot1,搓、擦：～老泥（搓污垢）,捽,
zeot1,烏黑的，通常曡用：黑～～、烏～～,卒,
zi1,蚊子、蠓蟲等小飛蟲的總稱：蚊～,螆,
zik1,疳積病：生～（疳積病）,癪,
zim1,插對：打～,尖,
zip3,折、疊：～紙、～被,摺,
zit1,通過擠壓以把内部東西逼出：～牙膏、～暗瘡,擳/唧,
zit1,液體濺出或噴出：畀啲水～到週身濕晒（被水濺到滿身濕透）、佢用水槍～我（他用水槍射我）,瀄,
ziu3,照顧，關照：放心啦，入面有熟人～住（放心吧，裏面有熟人關照）、我～你（我關照着你）,照,
ziu6,嚼、咀嚼：～香口膠、～完鬆（比喻佔了便宜就跑）,𡁻,
ziu6,打：～佢一鑊（打他一頓）,摷/趙,
zo2,表示動作完成，相當於「了」：完成～任務（完成了任務）、走～（走了）,咗,
zong1,窺視，偷窺：～人沖涼,𥅾/裝,
zung1,一種體積較少的器皿：煙灰～、口～、茶～,盅,
zung1,撞向或用拳擊打：～個頭埋去，一拳～過去,舂,
zung6,還，再，更：～有（還有）、～係（還是）、～好（更好）,仲/重,
zyut3,用嘴吮吸，吻：～田螺、～一啖（吻一下）,啜,
