粵拼,意思及例子,粵研社（粵語協會）,侯興泉
bik1,压迫，逼迫；拥挤；强行挤人； 箍紧，夹紧；紧迫，逼近,-,逼
bin1,闊口食盤，煮食器皿：打～爐（吃火鍋）,邊,-
bin1,哪：～個，～道（哪裡）,邊,-
bit1,液體從小孔噴出：水管壞咗，～水出嚟（水管壞了，噴水出來）,咇,㓖
biu1,形容快速，像風一樣：佢～得好快（他跑得很快）,飆/飇,猋
biu1,"液體噴射：～尿""",飆/飇,滮
biu1,【1】長高：～高 【2】出類拔萃：～青,標,䅺
bo1,膝蓋骨：～櫨（蘿）蓋,菠,-
bo1,金～羅，古代酒器，喻指珍貴之物,菠,-
bo3,句末語氣詞，表示叮囑或肯定：你好叻～。（你挺能幹的）你記住準時到～。（你記緊要準時到）,噃,噃
bok1,用棍或棍狀物打：～穿個頭（打穿頭）,㩧,㩧
bok1,土气的。如~嘢，〜佬,-,嚗
bou1,【1】名詞，壁較陡直的鍋：飯～、藥～【2】動詞，煮：～湯,煲,煲
bou2,陌生：生～,簿,-
bou6,【1】孵：～雞仔（孵小雞）【2】使暖和：～暖個被兜（將被窩弄暖）,菢,菢
bou6,码头。本字为应为“埠”,-,埗
buk6,趴，俯伏：～低（趴下）、～伊人（捉伊人？）、～匿匿（捉迷藏）,伏,伏
bung6,量詞「陣」、「股」：一～臭味（一股臭味）,𩗴,䭰
bung6,量词。用于墙，相当于“堵”,-,埲
caa1,(不小心）踩；踏,-,䟕
caa4,塗：～葯（敷藥）、～脂蕩粉（涂脂抹粉）,搽,-
caa5,塗改：～咗個錯字,扠,扠
caai1,揉：～麵粉,搓,搓
caak3,冬天皮膚裂開：爆～膏,拆,㿭
caam2,簸箕：垃圾～,篸,-
caam4,嶙峋突兀：岩～（表面突兀不平，指難看）,巉,-
caam5,刺：隻手～到刺（被刺刺到手了）,㔆,㔆
caan2,磨刀：～刀,鏟/剷,-
caang1,平底鍋：砂煲甖～（瓦鍋瓶罐）,罉,罉
caang4,鄙陋，粗俗,伧,-
caang4,刺眼：～眼,掁,-
caat3,囂張，自負：牙～～,擦,-
caau1,用角撞或挑,-,𤙴
caau3,一般指給牛挑了起來：畀隻牛～起,觘,-
caau3,翻箱倒櫃或費很大勁地找：從工具箱～粒螺絲出嚟、～勻全世界都要～到佢,耖/摷,摷
caau4,皺：～皮,巢,巢
cai3,打：～人,砌,摕
cam1,使進入、參加：～埋我玩啦（讓我參加一塊兒玩吧）、～啲水入去（加點水進去）,侵,-
cam3,長氣、囉嗦：你好～呀！（你眞囉嗦！）,譖,諃
cam4,昨（日）：～日，～晚,尋,-
can1,助词。用在动词后面，表示受动 或感受；表示动作或状态有规律 地、有条件性地重复出现,-,親
can3,光顧：幫～,襯,-
cap1,整齊：齊～～,葺,-
cat6,男性生殖器，土氣，丟臉，粗俗語氣助詞：托～，好～，～頭,柒/𨳍,𨳍
cau1,【1】有挽手的袋子：手～【2】量詞「串」：一～鎖匙,抽,抽
ce1,胡扯：亂咁～，～大炮（撒謊）,車,-
